step_idx,failure_type,csv_delay_time,actual_incremental_delay,dynamic_makespan_after_event,target_task,duration_before,duration_after,standard_duration,actual_delay_vs_standard_after,t1,t2,observed_order_extra_delay,released_previous_delay
1,delay,1.8096,1.8099999999999996,74.35,3,3.62,5.43,3.62,1.8099999999999996,,,,
2,delay,1.797,1.7999999999999998,75.46,8,3.59,5.39,3.59,1.7999999999999998,,,,
3,delay,3.594,3.6000000000000005,79.06,8,5.39,8.99,3.59,5.4,,,,
4,delay,7.188,7.1800000000000015,83.88,8,8.99,16.17,3.59,12.580000000000002,,,,
5,delay,1.797,1.7999999999999998,86.43,10,3.59,5.39,3.59,1.7999999999999998,,,,
6,delay,3.594,3.5900000000000007,90.02,10,5.39,8.98,3.59,5.390000000000001,,,,
7,delay,7.188,7.190000000000001,95.0,10,8.98,16.17,3.59,12.580000000000002,,,,
8,delay,7.188,7.189999999999998,100.93,10,16.17,23.36,3.59,19.77,,,,
9,delay,1.79,1.79,98.82,14,3.58,5.37,3.58,1.79,,,,
10,delay,3.58,3.579999999999999,102.4,14,5.37,8.95,3.58,5.369999999999999,,,,
11,delay,1.7319,1.7400000000000002,99.79,18,3.46,5.2,3.46,1.7400000000000002,,,,
12,delay,3.4638,3.46,103.25,18,5.2,8.66,3.46,5.2,,,,
