case_id,status,error,num_events,offline_makespan,initial_offline_best_cost,initial_real_nores_baseline_makespan,final_nores_makespan,final_dynamic_makespan,final_nores_minus_dynamic,events_csv,gantt_txt,output_dir,summary_csv,comparison_gantt_data,event_delay_report,final_comparison_png
20260616_163957,ok,,9,72.63,72.63,72.59,80.484,73.74,6.744,C:\Users\c2466\Desktop\task_monitor\data\dynamic_events_20260616_163957.csv,C:\Users\c2466\Desktop\task_monitor\data\gantt_data_20260616_163957.txt,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260616_163957,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260616_163957\real_nores_summary.csv,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260616_163957\comparison_gantt_data.txt,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260616_163957\real_event_delay_report.csv,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260616_163957\comparison_gantt.png
20260616_165213,ok,,10,72.63,72.63,72.59,80.2638,74.18,6.0837999999999965,C:\Users\c2466\Desktop\task_monitor\data\dynamic_events_20260616_165213.csv,C:\Users\c2466\Desktop\task_monitor\data\gantt_data_20260616_165213.txt,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260616_165213,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260616_165213\real_nores_summary.csv,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260616_165213\comparison_gantt_data.txt,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260616_165213\real_event_delay_report.csv,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260616_165213\comparison_gantt.png
20260617_161127,ok,,15,72.63,72.63,72.59,97.35760000000002,92.22,5.13760000000002,C:\Users\c2466\Desktop\task_monitor\data\dynamic_events_20260617_161127.csv,C:\Users\c2466\Desktop\task_monitor\data\gantt_data_20260617_161127.txt,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260617_161127,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260617_161127\real_nores_summary.csv,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260617_161127\comparison_gantt_data.txt,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260617_161127\real_event_delay_report.csv,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260617_161127\comparison_gantt.png
20260617_161833,ok,,4,72.63,72.63,72.59,75.59379999999999,75.59,0.0037999999999840384,C:\Users\c2466\Desktop\task_monitor\data\dynamic_events_20260617_161833.csv,C:\Users\c2466\Desktop\task_monitor\data\gantt_data_20260617_161833.txt,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260617_161833,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260617_161833\real_nores_summary.csv,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260617_161833\comparison_gantt_data.txt,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260617_161833\real_event_delay_report.csv,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260617_161833\comparison_gantt.png
20260617_162610,ok,,11,72.63,72.63,72.59,95.52159999999998,84.35,11.171599999999984,C:\Users\c2466\Desktop\task_monitor\data\dynamic_events_20260617_162610.csv,C:\Users\c2466\Desktop\task_monitor\data\gantt_data_20260617_162610.txt,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260617_162610,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260617_162610\real_nores_summary.csv,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260617_162610\comparison_gantt_data.txt,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260617_162610\real_event_delay_report.csv,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260617_162610\comparison_gantt.png
20260617_163225,ok,,10,72.63,72.63,72.59,84.31380000000001,84.27,0.04380000000001871,C:\Users\c2466\Desktop\task_monitor\data\dynamic_events_20260617_163225.csv,C:\Users\c2466\Desktop\task_monitor\data\gantt_data_20260617_163225.txt,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260617_163225,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260617_163225\real_nores_summary.csv,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260617_163225\comparison_gantt_data.txt,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260617_163225\real_event_delay_report.csv,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260617_163225\comparison_gantt.png
20260617_163852,ok,,7,72.63,72.63,72.59,79.28779999999999,86.08,-6.792200000000008,C:\Users\c2466\Desktop\task_monitor\data\dynamic_events_20260617_163852.csv,C:\Users\c2466\Desktop\task_monitor\data\gantt_data_20260617_163852.txt,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260617_163852,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260617_163852\real_nores_summary.csv,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260617_163852\comparison_gantt_data.txt,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260617_163852\real_event_delay_report.csv,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260617_163852\comparison_gantt.png
20260617_164554,ok,,4,72.63,72.63,72.59,69.86999999999999,68.82,1.0499999999999972,C:\Users\c2466\Desktop\task_monitor\data\dynamic_events_20260617_164554.csv,C:\Users\c2466\Desktop\task_monitor\data\gantt_data_20260617_164554.txt,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260617_164554,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260617_164554\real_nores_summary.csv,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260617_164554\comparison_gantt_data.txt,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260617_164554\real_event_delay_report.csv,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260617_164554\comparison_gantt.png
20260617_165310,ok,,3,72.63,72.63,72.59,67.98,66.1,1.8800000000000097,C:\Users\c2466\Desktop\task_monitor\data\dynamic_events_20260617_165310.csv,C:\Users\c2466\Desktop\task_monitor\data\gantt_data_20260617_165310.txt,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260617_165310,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260617_165310\real_nores_summary.csv,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260617_165310\comparison_gantt_data.txt,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260617_165310\real_event_delay_report.csv,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260617_165310\comparison_gantt.png
20260617_170056,ok,,2,72.63,72.63,72.59,67.89,66.65,1.2399999999999949,C:\Users\c2466\Desktop\task_monitor\data\dynamic_events_20260617_170056.csv,C:\Users\c2466\Desktop\task_monitor\data\gantt_data_20260617_170056.txt,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260617_170056,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260617_170056\real_nores_summary.csv,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260617_170056\comparison_gantt_data.txt,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260617_170056\real_event_delay_report.csv,C:\Users\c2466\Desktop\task_monitor\batch_real_nores_outputs\20260617_170056\comparison_gantt.png
