step_idx,failure_type,csv_delay_time,actual_incremental_delay,dynamic_makespan_after_event,target_task,duration_before,duration_after,standard_duration,actual_delay_vs_standard_after,t1,t2,observed_order_extra_delay,released_previous_delay
1,delay,1.797,1.7999999999999998,74.97,8,3.59,5.39,3.59,1.7999999999999998,,,,
2,delay,1.79,1.79,72.44,14,3.58,5.37,3.58,1.79,,,,
3,delay,3.58,3.579999999999999,76.02,14,5.37,8.95,3.58,5.369999999999999,,,,
4,delay,1.6689,1.67,74.98,15,3.34,5.01,3.34,1.67,,,,
5,delay,3.3378,3.33,78.32,15,5.01,8.34,3.34,5.0,,,,
6,delay,6.6756,6.68,84.99,15,8.34,15.02,3.34,11.68,,,,
7,delay,1.797,1.7999999999999998,80.42,19,3.59,5.39,3.59,1.7999999999999998,,,,
8,delay,3.594,3.5900000000000007,84.02,19,5.39,8.98,3.59,5.390000000000001,,,,
9,delay,1.797,1.7999999999999998,81.61,23,3.59,5.39,3.59,1.7999999999999998,,,,
10,delay,1.8096,1.8099999999999996,82.83,22,3.62,5.43,3.62,1.8099999999999996,,,,
